Barcode	Count	Location
A01	18	results/trezende/Angelina/AB220418/split1/AB220418A01.fasta
A02	5145	results/trezende/Angelina/AB220418/split1/AB220418A02.fasta
A03	5731	results/trezende/Angelina/AB220418/split1/AB220418A03.fasta
A04	6539	results/trezende/Angelina/AB220418/split1/AB220418A04.fasta
A05	6219	results/trezende/Angelina/AB220418/split1/AB220418A05.fasta
A06	6644	results/trezende/Angelina/AB220418/split1/AB220418A06.fasta
A07	4830	results/trezende/Angelina/AB220418/split1/AB220418A07.fasta
A08	17	results/trezende/Angelina/AB220418/split1/AB220418A08.fasta
A09	9	results/trezende/Angelina/AB220418/split1/AB220418A09.fasta
A10	14	results/trezende/Angelina/AB220418/split1/AB220418A10.fasta
A11	21	results/trezende/Angelina/AB220418/split1/AB220418A11.fasta
A12	21	results/trezende/Angelina/AB220418/split1/AB220418A12.fasta
B01	19	results/trezende/Angelina/AB220418/split1/AB220418B01.fasta
B02	19	results/trezende/Angelina/AB220418/split1/AB220418B02.fasta
B03	17	results/trezende/Angelina/AB220418/split1/AB220418B03.fasta
B04	13	results/trezende/Angelina/AB220418/split1/AB220418B04.fasta
B05	8	results/trezende/Angelina/AB220418/split1/AB220418B05.fasta
B06	5	results/trezende/Angelina/AB220418/split1/AB220418B06.fasta
B07	17	results/trezende/Angelina/AB220418/split1/AB220418B07.fasta
B08	16	results/trezende/Angelina/AB220418/split1/AB220418B08.fasta
B09	20	results/trezende/Angelina/AB220418/split1/AB220418B09.fasta
B10	24	results/trezende/Angelina/AB220418/split1/AB220418B10.fasta
B11	23	results/trezende/Angelina/AB220418/split1/AB220418B11.fasta
B12	10	results/trezende/Angelina/AB220418/split1/AB220418B12.fasta
C01	24	results/trezende/Angelina/AB220418/split1/AB220418C01.fasta
C02	20	results/trezende/Angelina/AB220418/split1/AB220418C02.fasta
C03	27	results/trezende/Angelina/AB220418/split1/AB220418C03.fasta
C04	19	results/trezende/Angelina/AB220418/split1/AB220418C04.fasta
C05	14	results/trezende/Angelina/AB220418/split1/AB220418C05.fasta
C06	14	results/trezende/Angelina/AB220418/split1/AB220418C06.fasta
C07	24	results/trezende/Angelina/AB220418/split1/AB220418C07.fasta
C08	17	results/trezende/Angelina/AB220418/split1/AB220418C08.fasta
C09	28	results/trezende/Angelina/AB220418/split1/AB220418C09.fasta
C10	15	results/trezende/Angelina/AB220418/split1/AB220418C10.fasta
C11	15	results/trezende/Angelina/AB220418/split1/AB220418C11.fasta
C12	10	results/trezende/Angelina/AB220418/split1/AB220418C12.fasta
D01	14	results/trezende/Angelina/AB220418/split1/AB220418D01.fasta
D02	18	results/trezende/Angelina/AB220418/split1/AB220418D02.fasta
D03	16	results/trezende/Angelina/AB220418/split1/AB220418D03.fasta
D04	21	results/trezende/Angelina/AB220418/split1/AB220418D04.fasta
D05	18	results/trezende/Angelina/AB220418/split1/AB220418D05.fasta
D06	10	results/trezende/Angelina/AB220418/split1/AB220418D06.fasta
D07	9	results/trezende/Angelina/AB220418/split1/AB220418D07.fasta
D08	25	results/trezende/Angelina/AB220418/split1/AB220418D08.fasta
D09	12	results/trezende/Angelina/AB220418/split1/AB220418D09.fasta
D10	11	results/trezende/Angelina/AB220418/split1/AB220418D10.fasta
D11	9	results/trezende/Angelina/AB220418/split1/AB220418D11.fasta
D12	16	results/trezende/Angelina/AB220418/split1/AB220418D12.fasta
E01	13	results/trezende/Angelina/AB220418/split1/AB220418E01.fasta
E02	23	results/trezende/Angelina/AB220418/split1/AB220418E02.fasta
E03	12	results/trezende/Angelina/AB220418/split1/AB220418E03.fasta
E04	11	results/trezende/Angelina/AB220418/split1/AB220418E04.fasta
E05	17	results/trezende/Angelina/AB220418/split1/AB220418E05.fasta
E06	10	results/trezende/Angelina/AB220418/split1/AB220418E06.fasta
E07	12	results/trezende/Angelina/AB220418/split1/AB220418E07.fasta
E08	7	results/trezende/Angelina/AB220418/split1/AB220418E08.fasta
E09	17	results/trezende/Angelina/AB220418/split1/AB220418E09.fasta
E10	22	results/trezende/Angelina/AB220418/split1/AB220418E10.fasta
E11	16	results/trezende/Angelina/AB220418/split1/AB220418E11.fasta
E12	12	results/trezende/Angelina/AB220418/split1/AB220418E12.fasta
F01	8	results/trezende/Angelina/AB220418/split1/AB220418F01.fasta
F02	13	results/trezende/Angelina/AB220418/split1/AB220418F02.fasta
F03	11	results/trezende/Angelina/AB220418/split1/AB220418F03.fasta
F04	22	results/trezende/Angelina/AB220418/split1/AB220418F04.fasta
F05	22	results/trezende/Angelina/AB220418/split1/AB220418F05.fasta
F06	18	results/trezende/Angelina/AB220418/split1/AB220418F06.fasta
F07	16	results/trezende/Angelina/AB220418/split1/AB220418F07.fasta
F08	14	results/trezende/Angelina/AB220418/split1/AB220418F08.fasta
F09	14	results/trezende/Angelina/AB220418/split1/AB220418F09.fasta
F10	16	results/trezende/Angelina/AB220418/split1/AB220418F10.fasta
F11	16	results/trezende/Angelina/AB220418/split1/AB220418F11.fasta
F12	23	results/trezende/Angelina/AB220418/split1/AB220418F12.fasta
G01	14	results/trezende/Angelina/AB220418/split1/AB220418G01.fasta
G02	16	results/trezende/Angelina/AB220418/split1/AB220418G02.fasta
G03	17	results/trezende/Angelina/AB220418/split1/AB220418G03.fasta
G04	13	results/trezende/Angelina/AB220418/split1/AB220418G04.fasta
G05	10	results/trezende/Angelina/AB220418/split1/AB220418G05.fasta
G06	15	results/trezende/Angelina/AB220418/split1/AB220418G06.fasta
G07	11	results/trezende/Angelina/AB220418/split1/AB220418G07.fasta
G08	20	results/trezende/Angelina/AB220418/split1/AB220418G08.fasta
G09	10	results/trezende/Angelina/AB220418/split1/AB220418G09.fasta
G10	9	results/trezende/Angelina/AB220418/split1/AB220418G10.fasta
G11	12	results/trezende/Angelina/AB220418/split1/AB220418G11.fasta
G12	16	results/trezende/Angelina/AB220418/split1/AB220418G12.fasta
H01	13	results/trezende/Angelina/AB220418/split1/AB220418H01.fasta
H02	19	results/trezende/Angelina/AB220418/split1/AB220418H02.fasta
H03	16	results/trezende/Angelina/AB220418/split1/AB220418H03.fasta
H04	12	results/trezende/Angelina/AB220418/split1/AB220418H04.fasta
H05	13	results/trezende/Angelina/AB220418/split1/AB220418H05.fasta
H06	14	results/trezende/Angelina/AB220418/split1/AB220418H06.fasta
H07	9	results/trezende/Angelina/AB220418/split1/AB220418H07.fasta
H08	11	results/trezende/Angelina/AB220418/split1/AB220418H08.fasta
H09	24	results/trezende/Angelina/AB220418/split1/AB220418H09.fasta
H10	15	results/trezende/Angelina/AB220418/split1/AB220418H10.fasta
H11	11	results/trezende/Angelina/AB220418/split1/AB220418H11.fasta
H12	15	results/trezende/Angelina/AB220418/split1/AB220418H12.fasta
unmatched	802872	results/trezende/Angelina/AB220418/split1/AB220418unmatched.fasta
total	839377
Barcode	Count	Location
P01	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P01.fasta
P02	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P02.fasta
P03	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P03.fasta
P04	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P05.fasta
P06	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P06.fasta
P07	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P07.fasta
P08	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P08.fasta
P09	6	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P09.fasta
P10	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P16.fasta
unmatched	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01unmatched.fasta
total	18
Barcode	Count	Location
P01	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P01.fasta
P02	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P02.fasta
P03	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P03.fasta
P04	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P05.fasta
P06	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P06.fasta
P07	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P10.fasta
