Barcode	Count	Location
A01	4030	results/trezende/RC1/RC1/split1/RC1A01.fasta
A02	1624	results/trezende/RC1/RC1/split1/RC1A02.fasta
A03	1491	results/trezende/RC1/RC1/split1/RC1A03.fasta
A04	2516	results/trezende/RC1/RC1/split1/RC1A04.fasta
A05	4051	results/trezende/RC1/RC1/split1/RC1A05.fasta
A06	1658	results/trezende/RC1/RC1/split1/RC1A06.fasta
A07	2496	results/trezende/RC1/RC1/split1/RC1A07.fasta
A08	1096	results/trezende/RC1/RC1/split1/RC1A08.fasta
A09	3508	results/trezende/RC1/RC1/split1/RC1A09.fasta
A10	3703	results/trezende/RC1/RC1/split1/RC1A10.fasta
A11	2338	results/trezende/RC1/RC1/split1/RC1A11.fasta
A12	2372	results/trezende/RC1/RC1/split1/RC1A12.fasta
B01	2001	results/trezende/RC1/RC1/split1/RC1B01.fasta
B02	2907	results/trezende/RC1/RC1/split1/RC1B02.fasta
B03	3013	results/trezende/RC1/RC1/split1/RC1B03.fasta
B04	3502	results/trezende/RC1/RC1/split1/RC1B04.fasta
B05	2235	results/trezende/RC1/RC1/split1/RC1B05.fasta
B06	3830	results/trezende/RC1/RC1/split1/RC1B06.fasta
B07	1938	results/trezende/RC1/RC1/split1/RC1B07.fasta
B08	3480	results/trezende/RC1/RC1/split1/RC1B08.fasta
B09	2331	results/trezende/RC1/RC1/split1/RC1B09.fasta
B10	2767	results/trezende/RC1/RC1/split1/RC1B10.fasta
B11	1552	results/trezende/RC1/RC1/split1/RC1B11.fasta
B12	907	results/trezende/RC1/RC1/split1/RC1B12.fasta
C01	1387	results/trezende/RC1/RC1/split1/RC1C01.fasta
C02	2556	results/trezende/RC1/RC1/split1/RC1C02.fasta
C03	2128	results/trezende/RC1/RC1/split1/RC1C03.fasta
C04	3314	results/trezende/RC1/RC1/split1/RC1C04.fasta
C05	2770	results/trezende/RC1/RC1/split1/RC1C05.fasta
C06	2117	results/trezende/RC1/RC1/split1/RC1C06.fasta
C07	1048	results/trezende/RC1/RC1/split1/RC1C07.fasta
C08	2220	results/trezende/RC1/RC1/split1/RC1C08.fasta
C09	962	results/trezende/RC1/RC1/split1/RC1C09.fasta
C10	3305	results/trezende/RC1/RC1/split1/RC1C10.fasta
C11	1093	results/trezende/RC1/RC1/split1/RC1C11.fasta
C12	3125	results/trezende/RC1/RC1/split1/RC1C12.fasta
D01	2263	results/trezende/RC1/RC1/split1/RC1D01.fasta
D02	2383	results/trezende/RC1/RC1/split1/RC1D02.fasta
D03	1725	results/trezende/RC1/RC1/split1/RC1D03.fasta
D04	1859	results/trezende/RC1/RC1/split1/RC1D04.fasta
D05	1313	results/trezende/RC1/RC1/split1/RC1D05.fasta
D06	1990	results/trezende/RC1/RC1/split1/RC1D06.fasta
D07	2450	results/trezende/RC1/RC1/split1/RC1D07.fasta
D08	1983	results/trezende/RC1/RC1/split1/RC1D08.fasta
D09	2199	results/trezende/RC1/RC1/split1/RC1D09.fasta
D10	3209	results/trezende/RC1/RC1/split1/RC1D10.fasta
D11	2001	results/trezende/RC1/RC1/split1/RC1D11.fasta
D12	4121	results/trezende/RC1/RC1/split1/RC1D12.fasta
E01	4962	results/trezende/RC1/RC1/split1/RC1E01.fasta
E02	1183	results/trezende/RC1/RC1/split1/RC1E02.fasta
E03	2209	results/trezende/RC1/RC1/split1/RC1E03.fasta
E04	1193	results/trezende/RC1/RC1/split1/RC1E04.fasta
E05	1982	results/trezende/RC1/RC1/split1/RC1E05.fasta
E06	2527	results/trezende/RC1/RC1/split1/RC1E06.fasta
E07	1323	results/trezende/RC1/RC1/split1/RC1E07.fasta
E08	2551	results/trezende/RC1/RC1/split1/RC1E08.fasta
E09	1922	results/trezende/RC1/RC1/split1/RC1E09.fasta
E10	4943	results/trezende/RC1/RC1/split1/RC1E10.fasta
E11	2422	results/trezende/RC1/RC1/split1/RC1E11.fasta
E12	1682	results/trezende/RC1/RC1/split1/RC1E12.fasta
F01	2010	results/trezende/RC1/RC1/split1/RC1F01.fasta
F02	981	results/trezende/RC1/RC1/split1/RC1F02.fasta
F03	1065	results/trezende/RC1/RC1/split1/RC1F03.fasta
F04	1275	results/trezende/RC1/RC1/split1/RC1F04.fasta
F05	3485	results/trezende/RC1/RC1/split1/RC1F05.fasta
F06	3144	results/trezende/RC1/RC1/split1/RC1F06.fasta
F07	2420	results/trezende/RC1/RC1/split1/RC1F07.fasta
F08	4010	results/trezende/RC1/RC1/split1/RC1F08.fasta
F09	6704	results/trezende/RC1/RC1/split1/RC1F09.fasta
F10	5715	results/trezende/RC1/RC1/split1/RC1F10.fasta
F11	3843	results/trezende/RC1/RC1/split1/RC1F11.fasta
F12	4093	results/trezende/RC1/RC1/split1/RC1F12.fasta
G01	2665	results/trezende/RC1/RC1/split1/RC1G01.fasta
G02	3357	results/trezende/RC1/RC1/split1/RC1G02.fasta
G03	3336	results/trezende/RC1/RC1/split1/RC1G03.fasta
G04	3652	results/trezende/RC1/RC1/split1/RC1G04.fasta
G05	4927	results/trezende/RC1/RC1/split1/RC1G05.fasta
G06	4083	results/trezende/RC1/RC1/split1/RC1G06.fasta
G07	2984	results/trezende/RC1/RC1/split1/RC1G07.fasta
G08	3319	results/trezende/RC1/RC1/split1/RC1G08.fasta
G09	4003	results/trezende/RC1/RC1/split1/RC1G09.fasta
G10	4115	results/trezende/RC1/RC1/split1/RC1G10.fasta
G11	5249	results/trezende/RC1/RC1/split1/RC1G11.fasta
G12	3830	results/trezende/RC1/RC1/split1/RC1G12.fasta
H01	2308	results/trezende/RC1/RC1/split1/RC1H01.fasta
H02	5518	results/trezende/RC1/RC1/split1/RC1H02.fasta
H03	4383	results/trezende/RC1/RC1/split1/RC1H03.fasta
H04	5783	results/trezende/RC1/RC1/split1/RC1H04.fasta
H05	4756	results/trezende/RC1/RC1/split1/RC1H05.fasta
H06	7219	results/trezende/RC1/RC1/split1/RC1H06.fasta
H07	5796	results/trezende/RC1/RC1/split1/RC1H07.fasta
H08	4158	results/trezende/RC1/RC1/split1/RC1H08.fasta
H09	4674	results/trezende/RC1/RC1/split1/RC1H09.fasta
H10	3112	results/trezende/RC1/RC1/split1/RC1H10.fasta
H11	5349	results/trezende/RC1/RC1/split1/RC1H11.fasta
H12	3844	results/trezende/RC1/RC1/split1/RC1H12.fasta
unmatched	369651	results/trezende/RC1/RC1/split1/RC1unmatched.fasta
total	654582
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A01P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A01P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A01P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A01P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A01P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A01P06.fasta
P07	1842	results/trezende/RC1/RC1/split1/split2/RC1A01P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A01P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A01P09.fasta
P10	1815	results/trezende/RC1/RC1/split1/split2/RC1A01P10.fasta
